部数,部名,類数,類名,HSコード,大項目,中項目,小項目,細項目,微細項目,項目,単位2
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010121000,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,－ 馬,－－ 純粋種の繁殖用のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010129000,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,－ 馬,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010130000,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,－ ろ馬,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010190000,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,－ その他のもの,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010221000,牛（生きているものに限る。）,－ 家畜のもの,－－ 純粋種の繁殖用のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010229000,牛（生きているものに限る。）,－ 家畜のもの,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010231000,牛（生きているものに限る。）,－ 水牛,－－ 純粋種の繁殖用のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010239000,牛（生きているものに限る。）,－ 水牛,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010290000,牛（生きているものに限る。）,－ その他のもの,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010310000,豚（生きているものに限る。）,－ 純粋種の繁殖用のもの,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010391000,豚（生きているものに限る。）,－ その他のもの,－－ 1頭の重量が50キログラム未満のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010392000,豚（生きているものに限る。）,－ その他のもの,－－ 1頭の重量が50キログラム以上のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010410000,羊及びやぎ（生きているものに限る。）,－ 羊,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010420000,羊及びやぎ（生きているものに限る。）,－ やぎ,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010511000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ 鶏（ガルルス・ドメスティクス）,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010512000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ 七面鳥,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010513000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ あひる,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010514000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ がちよう,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010515000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ ほろほろ鳥,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010594000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ その他のもの,－－ 鶏（ガルルス・ドメスティクス）,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010599000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ その他のもの,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010611000,その他の動物（生きているものに限る。）,－ 哺乳類,－－ 霊長類,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010612000,その他の動物（生きているものに限る。）,－ 哺乳類,－－ くじら目、海牛目及び鰭脚下目,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010613000,その他の動物（生きているものに限る。）,－ 哺乳類,－－ らくだ科,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010614000,その他の動物（生きているものに限る。）,－ 哺乳類,－－ うさぎ,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010619000,その他の動物（生きているものに限る。）,－ 哺乳類,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010620000,その他の動物（生きているものに限る。）,－ 爬虫類,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010631000,その他の動物（生きているものに限る。）,－ 鳥類,－－ 猛きん類,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010632000,その他の動物（生きているものに限る。）,－ 鳥類,－－ おうむ目,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010633000,その他の動物（生きているものに限る。）,－ 鳥類,－－ エミュー（ドロマイウス・ノヴァイホルランディアイ）及びだちよう,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010639000,その他の動物（生きているものに限る。）,－ 鳥類,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010641000,その他の動物（生きているものに限る。）,－ 昆虫類,－－ 蜂,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010649000,その他の動物（生きているものに限る。）,－ 昆虫類,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010690000,その他の動物（生きているものに限る。）,－ その他のもの,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020110000,牛の肉（生鮮のもの及び冷蔵したものに限る。）,－ 枝肉及び半丸枝肉,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020120000,牛の肉（生鮮のもの及び冷蔵したものに限る。）,－ その他の骨付き肉,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020130100,牛の肉（生鮮のもの及び冷蔵したものに限る。）,－ 骨付きでない肉,－－ ロインのもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020130200,牛の肉（生鮮のもの及び冷蔵したものに限る。）,－ 骨付きでない肉,－－ かた、うで及びもものもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020130300,牛の肉（生鮮のもの及び冷蔵したものに限る。）,－ 骨付きでない肉,－－ ばらのもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020130900,牛の肉（生鮮のもの及び冷蔵したものに限る。）,－ 骨付きでない肉,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020210000,牛の肉（冷凍したものに限る。）,－ 枝肉及び半丸枝肉,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020220000,牛の肉（冷凍したものに限る。）,－ その他の骨付き肉,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020230100,牛の肉（冷凍したものに限る。）,－ 骨付きでない肉,－－ ロインのもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020230200,牛の肉（冷凍したものに限る。）,－ 骨付きでない肉,－－ かた、うで及びもものもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020230300,牛の肉（冷凍したものに限る。）,－ 骨付きでない肉,－－ ばらのもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020230900,牛の肉（冷凍したものに限る。）,－ 骨付きでない肉,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020311000,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 生鮮のもの及び冷蔵したもの,－－ 枝肉及び半丸枝肉,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020312000,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 生鮮のもの及び冷蔵したもの,－－ 骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020319000,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 生鮮のもの及び冷蔵したもの,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020321000,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 冷凍したもの,－－ 枝肉及び半丸枝肉,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020322000,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 冷凍したもの,－－ 骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020329000,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 冷凍したもの,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020410000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 子羊の枝肉及び半丸枝肉（生鮮のもの及び冷蔵したものに限る。）,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020421000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他の羊の肉（生鮮のもの及び冷蔵したものに限る。）,－－ 枝肉及び半丸枝肉,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020422000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他の羊の肉（生鮮のもの及び冷蔵したものに限る。）,－－ その他の骨付き肉,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020423000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他の羊の肉（生鮮のもの及び冷蔵したものに限る。）,－－ 骨付きでない肉,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020430000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 子羊の枝肉及び半丸枝肉（冷凍したものに限る。）,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020441000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他の羊の肉（冷凍したものに限る。）,－－ 枝肉及び半丸枝肉,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020442000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他の羊の肉（冷凍したものに限る。）,－－ その他の骨付き肉,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020443000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他の羊の肉（冷凍したものに限る。）,－－ 骨付きでない肉,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020450000,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ やぎの肉,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020500000,馬、ろ馬、ら馬又はヒニーの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020610000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 牛のもの（生鮮のもの及び冷蔵したものに限る。）,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020621000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 牛のもの（冷凍したものに限る。）,－－ 舌,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020622000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 牛のもの（冷凍したものに限る。）,－－ 肝臓,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020629000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 牛のもの（冷凍したものに限る。）,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020630000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 豚のもの（生鮮のもの及び冷蔵したものに限る。）,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020641000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 豚のもの（冷凍したものに限る。）,－－ 肝臓,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020649000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 豚のもの（冷凍したものに限る。）,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020680000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他のもの（生鮮のもの及び冷蔵したものに限る。）,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020690000,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他のもの（冷凍したものに限る。）,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020711000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 鶏（ガルルス・ドメスティクス）のもの,－－ 分割してないもの（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020712000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 鶏（ガルルス・ドメスティクス）のもの,－－ 分割してないもの（冷凍したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020713000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 鶏（ガルルス・ドメスティクス）のもの,－－ 分割したもの及びくずのもの（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020714010,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 鶏（ガルルス・ドメスティクス）のもの,－－ 分割したもの及びくずのもの（冷凍したものに限る。）,－－－ もも及びむねのもの,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020714090,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 鶏（ガルルス・ドメスティクス）のもの,－－ 分割したもの及びくずのもの（冷凍したものに限る。）,－－－ その他のもの,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020724000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 七面鳥のもの,－－ 分割してないもの（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020725000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 七面鳥のもの,－－ 分割してないもの（冷凍したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020726000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 七面鳥のもの,－－ 分割したもの及びくずのもの（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020727000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 七面鳥のもの,－－ 分割したもの及びくずのもの（冷凍したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020741000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ あひるのもの,－－ 分割してないもの（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020742000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ あひるのもの,－－ 分割してないもの（冷凍したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020743000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ あひるのもの,－－ 脂肪質の肝臓（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020744000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ あひるのもの,－－ その他のもの（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020745000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ あひるのもの,－－ その他のもの（冷凍したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020751000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ がちようのもの,－－ 分割してないもの（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020752000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ がちようのもの,－－ 分割してないもの（冷凍したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020753000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ がちようのもの,－－ 脂肪質の肝臓（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020754000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ がちようのもの,－－ その他のもの（生鮮のもの及び冷蔵したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020755000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ がちようのもの,－－ その他のもの（冷凍したものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020760000,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ ほろほろ鳥のもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020810000,その他の肉及び食用のくず肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ うさぎのもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020830000,その他の肉及び食用のくず肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 霊長類のもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020840000,その他の肉及び食用のくず肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ くじら目のもの、海牛目のもの及び鰭脚下目のもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020850000,その他の肉及び食用のくず肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ 爬虫類のもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020860000,その他の肉及び食用のくず肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ らくだ科のもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020890000,その他の肉及び食用のくず肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,－ その他のもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020910000,家きんの脂肪及び豚の筋肉層のない脂肪（溶出その他の方法で抽出してないもので、生鮮のもの及び冷蔵し、冷凍し、塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）,－ 豚のもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,020990000,家きんの脂肪及び豚の筋肉層のない脂肪（溶出その他の方法で抽出してないもので、生鮮のもの及び冷蔵し、冷凍し、塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）,－ その他のもの,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,021011000,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,－ 豚の肉,－－ 骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,021012000,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,－ 豚の肉,－－ ばら肉及びこれを分割したもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,021019000,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,－ 豚の肉,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,021020000,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,－ 牛の肉,,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,021091000,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,－ その他のもの（肉又はくず肉の食用の粉及びミールを含む。）,－－ 霊長類のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,021092000,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,－ その他のもの（肉又はくず肉の食用の粉及びミールを含む。）,－－ くじら目のもの、海牛目のもの及び鰭脚下目のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,021093000,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,－ その他のもの（肉又はくず肉の食用の粉及びミールを含む。）,－－ 爬虫類のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉,021099000,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,－ その他のもの（肉又はくず肉の食用の粉及びミールを含む。）,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第3類,魚並びに甲殻類、軟体動物及びその他の水棲無脊椎動物,030111100,魚（生きているものに限る。）,－ 観賞用の魚,－－ 淡水魚,－－－ 金魚（カラシウス・アウラトゥス）,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第3類,魚並びに甲殻類、軟体動物及びその他の水棲無脊椎動物,030111200,魚（生きているものに限る。）,－ 観賞用の魚,－－ 淡水魚,－－－ こい（キュプリヌス属のもの）,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第3類,魚並びに甲殻類、軟体動物及びその他の水棲無脊椎動物,030111900,魚（生きているものに限る。）,－ 観賞用の魚,－－ 淡水魚,－－－ その他のもの,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第3類,魚並びに甲殻類、軟体動物及びその他の水棲無脊椎動物,030119000,魚（生きているものに限る。）,－ 観賞用の魚,－－ その他のもの,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第3類,魚並びに甲殻類、軟体動物及びその他の水棲無脊椎動物,030191000,魚（生きているものに限る。）,－ その他の魚（生きているものに限る。）,－－ ます（サルモ・トルタ、オンコルヒュンクス・ミキス、オンコルヒュンクス・クラルキ、オンコルヒュンクス・アグアボニタ、オンコルヒュンクス・ギラエ、オンコルヒュンクス・アパケ及びオンコルヒュンクス・クリソガステル）,,,,KG
第1部,動物（生きているものに限る。）及び動物性生産品,第3類,魚並びに甲殻類、軟体動物及びその他の水棲無脊椎動物,030192000,魚（生きているものに限る。）,－ その他の魚（生きているものに限る。）,－－ うなぎ（アングイルラ属のもの）,,,,KG
